played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,8,Switzerland,Zeki Amdouni,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377796,2026-06-30T12:00:00+00:00
2024-07-06,EURO,2024,Quarter-final,England,Switzerland,England,9,England,Trent Alexander-Arnold,,scored,espn,https://www.espn.com/soccer/match/_/gameId/703941,espn:703941:43377801,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,1,Croatia,Nikola Vlasic,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807228,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,2,Spain,Joselu,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807229,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,3,Croatia,Marcelo Brozovic,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807231,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,4,Spain,Rodri,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807234,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,5,Croatia,Luka Modric,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807235,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,6,Spain,Mikel Merino,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807239,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,7,Croatia,Lovro Majer,,missed,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807244,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,8,Spain,Marco Asensio,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807245,2026-06-30T12:00:00+00:00
